3,9,3
12,6,7
6,1,9
7,9,12
3,-1,13
7,0,14
8,8,17
6,1,18
6,-2,20
7,6,23
1,1,25
1,7,26
2,3,28
2,6,30
3,2,32
3,5,34
-4,-2,33
-4,-2,33
